step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5
1	-75.342633004590965	-76.432847298473376	1.090214293882415	0.055555555555556	0.055555555555556	1.000000000000000	0.873971190601883	0.000000000000000	-1	3	6	9	13	0	1	1	1	1	1	1	2	3	4
500	-58.269985598397582	-60.329312067425548	2.059326469027967	0.055727938933697	0.055727938933697	1.000000000000000	0.973333271421246	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
1000	-61.310303135181840	-63.384770911356298	2.074467776174460	0.055553344971248	0.055553344971248	1.000000000000000	0.974972153860214	0.000000000000000	-2	0	6	9	13	0	1	2	3	4	1	1	1	1	1
1500	-59.219174690021376	-60.675063786590556	1.455889096569177	0.055388807194384	0.055388807194384	1.000000000000000	0.910212370123935	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
2000	-65.191002372637143	-65.165303183282816	-0.025699189354332	0.055684519432155	0.055684519432155	1.000000000000000	0.772055953007894	0.000000000000000	-1	3	6	9	13	0	1	1	1	4	1	1	2	2	1
2500	-58.510154685568736	-60.294674612188196	1.784519926619460	0.056420508287129	0.056420508287129	1.000000000000000	0.944062604920567	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
3000	-58.524354358489141	-60.371340013112828	1.846985654623689	0.055958129446974	0.055958129446974	1.000000000000000	0.950637791838327	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
3500	-63.809077715750988	-65.192256210325525	1.383178494574535	0.057295449462970	0.057295449462970	1.000000000000000	0.902888429370393	0.000000000000000	-3	3	6	9	13	0	1	1	3	4	1	1	1	1	1
4000	-56.432531844523716	-58.704271894412798	2.271740049889084	0.062917409342762	0.062917409342762	1.000000000000000	0.996578639227275	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
4500	-58.774748349554265	-60.025888117413459	1.251139767859193	0.067204911897555	0.067204911897555	1.000000000000000	0.889738874852224	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
5000	-66.398882790619155	-68.623744953724469	2.224862163105308	0.059549045505292	0.059549045505292	1.000000000000000	0.991401301012016	0.000000000000000	-1	3	6	9	13	0	1	1	2	3	1	1	1	2	1
5500	-64.509592420247685	-65.822041109100581	1.312448688852895	0.045859202625196	0.045859202625196	1.000000000000000	0.895820558123213	0.000000000000000	-1	3	6	9	13	0	1	1	2	4	1	1	2	1	1
6000	-59.922429128270565	-61.514193679671600	1.591764551401036	0.059561434705679	0.059561434705679	1.000000000000000	0.924058349821324	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
6500	-57.227286607225430	-59.011010821182055	1.783724213956623	0.101727761046806	0.101727761046806	1.000000000000000	0.943979141658081	0.000000000000000	-2	3	6	9	13	0	1	1	3	4	1	2	1	1	1
7000	-40.688148204561365	-42.403834334051453	1.715686129490091	0.416184553930786	0.416184553930786	1.000000000000000	0.936869766799871	0.000000000000000	-1	2	6	9	13	0	1	2	3	4	1	1	1	1	1
7500	-44.983024814071314	-46.135125928336471	1.152101114265160	0.383521603916250	0.383521603916250	1.000000000000000	0.880001600121108	0.000000000000000	-3	2	6	9	12	0	1	2	3	4	1	1	1	1	2
8000	-44.068319810363249	-45.244875317737481	1.176555507374235	0.477588789402313	0.477588789402313	1.000000000000000	0.882395952123389	0.000000000000000	-1	3	6	9	13	0	1	1	3	3	1	1	1	1	1
8500	-42.729092608190278	-44.986950203935528	2.257857595745248	0.361322496609645	0.361322496609645	1.000000000000000	0.995042606719678	0.000000000000000	-5	3	6	9	13	0	1	2	2	4	1	1	1	1	1
9000	-41.610658258045191	-43.737894956903517	2.127236698858327	0.369646554810059	0.369646554810059	1.000000000000000	0.980705415126423	0.000000000000000	-3	3	6	8	13	0	1	2	2	4	1	1	1	1	1
9500	-40.994681119878820	-42.556988862186358	1.562307742307539	0.368102683103707	0.368102683103707	1.000000000000000	0.921038870484727	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
10000	-42.214526489146316	-43.508581033569733	1.294054544423414	0.415622107681970	0.415622107681970	1.000000000000000	0.893991555286778	0.000000000000000	-2	3	6	9	13	0	1	2	2	4	1	1	1	1	1
10500	-44.290858112702139	-46.391074110345812	2.100215997643672	0.613778436263974	0.613778436263974	1.000000000000000	0.977765458650443	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
11000	-42.708227191605509	-44.561680408094062	1.853453216488552	0.417270031816457	0.417270031816457	1.000000000000000	0.951321182771847	0.000000000000000	-5	3	6	9	13	0	1	2	3	4	1	1	1	1	1
11500	-42.881441507330557	-44.882178438322313	2.000736930991759	0.428396926585499	0.428396926585499	1.000000000000000	0.967017501757860	0.000000000000000	-3	3	6	8	13	0	1	2	2	3	1	1	1	1	1
12000	-40.341673026775545	-42.231769263048356	1.890096236272808	0.416855517992646	0.416855517992646	1.000000000000000	0.955202331791764	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
12500	-44.051210232464634	-44.304657373125984	0.253447140661347	0.393956382691033	0.393956382691033	1.000000000000000	0.796377471825891	0.000000000000000	-1	3	6	9	13	0	1	1	3	4	1	1	1	1	1
13000	-41.627136056902010	-42.633070267915649	1.005934211013637	0.427305001318354	0.427305001318354	1.000000000000000	0.865825129131066	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
13500	-44.572156141994853	-46.305640484334589	1.733484342339735	0.441669804665308	0.441669804665308	1.000000000000000	0.938724334141469	0.000000000000000	-2	3	6	9	13	0	1	2	2	4	1	1	1	1	2
14000	-42.460101225198088	-44.402378458843273	1.942277233645182	0.443027187683399	0.443027187683399	1.000000000000000	0.960756574379853	0.000000000000000	-4	3	4	9	12	0	1	2	2	4	1	1	1	1	1
14500	-42.127835893223846	-44.014015583669448	1.886179690445602	0.464530646480202	0.464530646480202	1.000000000000000	0.954786745145584	0.000000000000000	-4	3	6	9	13	0	1	2	3	4	1	1	1	1	1
15000	-44.409729629437678	-45.962671802510940	1.552942173073263	0.420636417723678	0.420636417723678	1.000000000000000	0.920080918634862	0.000000000000000	-1	3	6	9	12	0	1	2	2	3	1	1	1	1	2
15500	-42.627672450733606	-44.694575799894054	2.066903349160451	0.529999615197865	0.529999615197865	1.000000000000000	0.974153041948164	0.000000000000000	-4	3	6	9	13	0	1	2	3	4	1	1	1	1	1
16000	-42.291169355582788	-44.311257832208192	2.020088476625401	0.501749868493847	0.501749868493847	1.000000000000000	0.969098992438674	0.000000000000000	-4	3	6	9	13	0	1	2	3	4	1	1	1	1	1
16500	-41.859271992192028	-44.157573731780431	2.298301739588402	0.425646729731214	0.425646729731214	1.000000000000000	0.999524185079658	0.000000000000000	-2	3	6	9	13	0	1	1	3	4	1	1	1	1	1
17000	-41.312610441423992	-43.423138087863023	2.110527646439031	0.293855742760954	0.293855742760954	1.000000000000000	0.978886364439741	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
17500	-41.411753000556679	-43.245786203516275	1.834033202959592	0.314699142125611	0.314699142125611	1.000000000000000	0.949270654723166	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
18000	-51.816950354149455	-48.064646921432839	-3.752303432716612	0.463741883689124	0.463741883689124	1.000000000000000	0.510295457924922	0.000000000000000	-2	3	6	9	13	0	1	2	3	2	1	1	1	1	4
18500	-41.082502718680075	-42.801643937827123	1.719141219147050	0.383744368453905	0.383744368453905	1.000000000000000	0.937229499072654	0.000000000000000	-2	3	6	9	13	0	1	2	3	4	1	1	1	1	1
19000	-45.172721415563579	-46.321321310538032	1.148599894974451	0.315153872768221	0.315153872768221	1.000000000000000	0.879659324637931	0.000000000000000	-3	3	6	9	13	0	1	2	2	3	1	1	1	1	1
19500	-48.155436463493530	-48.287181978682447	0.131745515188916	0.585759410178707	0.585759410178707	1.000000000000000	0.785681018712339	0.000000000000000	-2	3	6	9	13	0	1	2	3	3	1	1	1	2	1
20000	-41.793970313453642	-43.138240998220965	1.344270684767321	0.475534921471549	0.475534921471549	1.000000000000000	0.898993586393853	0.000000000000000	-2	3	6	9	13	0	1	2	3	4	1	1	1	1	1
20500	-43.848598182083691	-43.882193490319146	0.033595308235455	0.492198866292644	0.492198866292644	1.000000000000000	0.777159264436235	0.000000000000000	-2	3	6	9	13	0	1	2	3	4	1	1	1	1	1
21000	-42.025815490355249	-44.044744020520170	2.018928530164921	0.403942201553529	0.403942201553529	1.000000000000000	0.968974100159741	0.000000000000000	-1	3	6	9	13	0	1	1	2	4	1	1	1	1	1
21500	-43.217611414828760	-45.277474187830968	2.059862773002208	0.320056503061025	0.320056503061025	1.000000000000000	0.973391273427349	0.000000000000000	-2	3	6	9	13	0	1	2	2	3	1	1	1	1	1
22000	-40.846324752388242	-43.065185464502740	2.218860712114496	0.405577341200118	0.405577341200118	1.000000000000000	0.990740427345417	0.000000000000000	-3	3	6	9	13	0	1	2	3	4	1	1	1	1	1
22500	-44.702956055780987	-45.742024720479407	1.039068664698418	0.311419098518732	0.311419098518732	1.000000000000000	0.869018631091916	0.000000000000000	-2	3	6	9	13	0	1	1	2	4	1	1	1	1	1
23000	-41.448279011180816	-43.577388222264474	2.129109211083659	0.470094350851135	0.470094350851135	1.000000000000000	0.980909478896267	0.000000000000000	-1	2	6	9	13	0	1	2	3	3	1	1	1	1	1
23500	-43.343545365174876	-45.361278088715430	2.017732723540558	0.459239582202810	0.459239582202810	1.000000000000000	0.968845363640395	0.000000000000000	-6	3	6	9	13	0	1	2	3	4	1	1	1	1	1
24000	-39.840523781046983	-42.125602367585280	2.285078586538299	0.447460138493857	0.447460138493857	1.000000000000000	0.998056723228054	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
24500	-46.370505605049310	-47.962550095866959	1.592044490817651	0.687559592617356	0.687559592617356	1.000000000000000	0.924087092530041	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
25000	-41.702046016728659	-43.644514291311623	1.942468274582961	0.496883654868516	0.496883654868516	1.000000000000000	0.960776968355962	0.000000000000000	-3	3	6	9	13	0	1	2	3	4	1	1	1	1	1
25500	-44.023572997776753	-46.317998374279242	2.294425376502489	0.629897675591375	0.629897675591375	1.000000000000000	0.999093775703755	0.000000000000000	-2	3	6	9	13	0	1	2	3	3	1	1	1	1	1
26000	-47.368157067756705	-46.668005565285611	-0.700151502471097	0.349863554230039	0.349863554230039	1.000000000000000	0.716313470768198	0.000000000000000	-3	3	6	9	13	0	1	2	2	3	1	1	1	1	1
26500	-42.259770450388125	-43.390447987502277	1.130677537114154	0.486679372305835	0.486679372305835	1.000000000000000	0.877909337742282	0.000000000000000	-2	2	6	9	13	0	1	2	3	4	1	1	1	1	1
27000	-40.524882420887877	-42.348927140469875	1.824044719581997	0.382545722897078	0.382545722897078	1.000000000000000	0.948217708665861	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
27500	-42.751175116118766	-43.452822206987094	0.701647090868325	0.339517718087622	0.339517718087622	1.000000000000000	0.837041188324061	0.000000000000000	-2	3	6	9	11	0	1	2	3	4	1	1	1	1	1
28000	-48.189497932258170	-48.218968208625398	0.029470276367230	0.492435953953218	0.492435953953218	1.000000000000000	0.776803145305679	0.000000000000000	-4	3	6	9	13	0	1	2	2	2	1	1	1	1	2
28500	-40.374196533019294	-42.533688725848492	2.159492192829201	0.492980883682389	0.492980883682389	1.000000000000000	0.984226514135120	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
29000	-41.699773918119455	-43.139701877772879	1.439927959653423	0.343477563869496	0.343477563869496	1.000000000000000	0.908599575741534	0.000000000000000	-1	3	6	9	13	0	1	2	2	4	1	1	1	1	1
29500	-40.262213652929603	-42.228372745991948	1.966159093062347	0.396504338692475	0.396504338692475	1.000000000000000	0.963309365787079	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
30000	-45.026527726834580	-47.053598630679744	2.027070903845167	0.315639149598554	0.315639149598554	1.000000000000000	0.969851135631614	0.000000000000000	-2	3	6	9	13	0	1	1	2	3	1	1	1	1	1
30500	-43.119620898924083	-44.577563550109758	1.457942651185677	0.313536832852248	0.313536832852248	1.000000000000000	0.910420079465912	0.000000000000000	-1	3	6	9	13	0	1	1	3	4	1	1	1	1	1
31000	-44.760412594359870	-46.342953267357089	1.582540672997220	0.443913628146092	0.443913628146092	1.000000000000000	0.923111790306194	0.000000000000000	-1	3	6	9	13	0	1	1	3	4	1	2	1	1	1
31500	-43.878793230968199	-45.051450382554592	1.172657151586390	0.512968768404442	0.512968768404442	1.000000000000000	0.882013824514647	0.000000000000000	-3	3	6	8	13	0	1	2	3	3	1	1	1	1	1
32000	-44.418425638173431	-46.507326506999981	2.088900868826551	0.581806050330268	0.581806050330268	1.000000000000000	0.976536948618604	0.000000000000000	-2	3	6	9	13	0	1	2	2	3	1	1	1	1	1
32500	-42.002853644728582	-43.500366465553448	1.497512820824866	0.347221186364236	0.347221186364236	1.000000000000000	0.914431722746873	0.000000000000000	-2	3	6	9	13	0	1	2	2	4	1	1	1	1	1
33000	-41.308033385962460	-43.477123272809230	2.169089886846771	0.473160119566501	0.473160119566501	1.000000000000000	0.985276663416975	0.000000000000000	-1	3	6	9	13	0	1	2	3	3	1	1	1	1	1
33500	-43.102770576810855	-45.310750674086890	2.207980097276034	0.360176518555734	0.360176518555734	1.000000000000000	0.989543388298499	0.000000000000000	-1	3	4	9	13	0	1	2	3	3	1	1	1	1	1
34000	-41.380189616084024	-43.604233703268747	2.224044087184720	0.363722276266254	0.363722276266254	1.000000000000000	0.991311189381754	0.000000000000000	-1	3	6	9	13	0	1	1	3	4	1	1	1	1	1
34500	-42.744418283228335	-44.113450932995420	1.369032649767086	0.438936380295475	0.438936380295475	1.000000000000000	0.901470419648142	0.000000000000000	-4	3	6	9	13	0	1	2	3	4	1	1	1	1	1
35000	-41.292897654432650	-43.489640593281024	2.196742938848370	0.466057234362646	0.466057234362646	1.000000000000000	0.988308641980533	0.000000000000000	-2	3	6	9	13	0	1	2	2	4	1	1	1	1	1
35500	-41.154827709166419	-43.295296624838713	2.140468915672297	0.296273259089911	0.296273259089911	1.000000000000000	0.982148354124768	0.000000000000000	-1	3	6	9	13	0	1	2	3	4	1	1	1	1	1
